,Invest into ML Technologies,Invest into Eco-Friendly Technologies,Invest into Car Technologies,Invest into Crypto Technologies,Invest into Software Development,Invest into Advertisements,Invest into Education,Create Service Centres,Decrease Fuel Price,Use Eco-Friendly Materials,Use Cheap Materials,Get Government Support,Boosting Technological Progress,Encourage Existing Industries,Boost Infrastructure,Develop New Laws,Develop GPS Technologies,Develop Safety Systems,Increase Social Awareness,Rational Fuel Usage,Adequate Price,State-of-the-Art Software,Improved Hardware,Confidentiality Problem,Vehicle to Vehicle Connection,GPS/Internet quality,Systems to prevent Traffic Jams,Less Pollution,Ecology,Market,Social Acceptance,Technologies,Legal System,--Jobs--,Life Safety,Data Safety,Independency on Man,Low Production Price,High Sales
Invest into ML Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,-0.15,1.0,0.0,0.0,0.0,-0.1,0.0,0.15,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Invest into Eco-Friendly Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,-0.1,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.7,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest into Car Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.1,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest into Crypto Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest into Software Development,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.2,1.0,0.0,0.2,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest into Advertisements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest into Education,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,0.02,0.8,0.1,0.4,0.08,0.0,0.0,0.0,-0.267,0.0,0.0,0.0,0.0,0.222,0.0,0.1,-0.3,0.0,0.0,0.0,0.0,0.0
Create Service Centres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0
Decrease Fuel Price,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Use Eco-Friendly Materials,-0.4,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Use Cheap Materials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,-0.5,0.0,0.0,-0.1,0.1,0.0,0.0,-0.1,-0.1,-0.3,0.0,0.1,-0.9,-0.6,0.0,-0.3,-0.3,0.0,-0.7,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Get Government Support,0.1,0.05,0.0,0.0,0.05,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.8,0.3,0.1,0.3,0.0,0.2,0.1,0.0,-0.2,0.3,0.05,0.2,0.0,0.0,0.7,0.0,0.0,0.3,-1e-07,0.0,0.2,-0.5,0.0,0.0,0.0,0.0,0.0
Boosting Technological Progress,0.3,0.0,0.0,0.1,0.4,0.0,0.05,0.0,0.25,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.05,0.0,0.75,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.3,-0.2,0.0,-0.005,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Encourage Existing Industries,0.0,-0.6,0.0,0.1,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.9,0.0,0.0,0.0,0.0,-0.2,-0.4,0.2,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boost Infrastructure,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.07,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Develop New Laws,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.09,0.0,0.15,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.4,-0.5,0.0,0.0,0.0,0.0,0.0
Develop GPS Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.6,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Develop Safety Systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.003,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Increase Social Awareness,0.03,0.1,0.0,0.0,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,-0.25,0.25,0.9,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0
Rational Fuel Usage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6659999999999999,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Adequate Price,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
State-of-the-Art Software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.9,-0.35,0.0
Improved Hardware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,-0.6,0.05,0.1,0.9,0.1,0.0,0.0,0.0,0.0,0.0,-0.35,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.05,0.0,0.3
Confidentiality Problem,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,-0.1,0.0,-0.1,0.0,0.0,0.0,0.0,-0.15,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-0.1,-0.2,0.0
Vehicle to Vehicle Connection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.2,0.0,0.0,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.205,-0.1,1.0,-0.35,0.0
GPS/Internet quality,0.0,0.0,0.0,0.0,0.0,0.0,-0.267,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.5,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.9,-0.25,0.0
Systems to prevent Traffic Jams,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.245,0.0,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.2
Less Pollution,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,-0.5,0.0
Ecology,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,-0.1,0.02,-0.4,0.1,-0.2,-0.4,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,-0.5,0.0,0.0,0.07,0.0,0.0,0.0,0.0
Market,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.3,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,-0.5,0.0,0.0,0.0,1.0,0.3
Social Acceptance,0.15,0.0,0.0,0.0,0.0,-0.1,0.222,0.0,0.2,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,-0.15,0.1,-0.9,0.0,0.0,0.25,0.0,0.75
Technologies,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.3,-0.1,-0.1,0.0,0.1,0.1,0.0,0.02,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.59
Legal System,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.3,0.0,0.75,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.7,0.0,0.053,0.0,0.0,0.0
--Jobs--,-0.1,0.0,0.003,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,0.86,-0.05,0.0,0.0,0.0,0.0,0.0
Life Safety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Safety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Independency on Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
Low Production Price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High Sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-05